,Title,Images,Summary,Aurthor,Category,ID
65,Bang Iceland: How To Sleep With Icelandic Women In Iceland,http://ecx.images-amazon.com/images/I/31ev8BZ1WfL.jpg," Bang Iceland is a travel guide that teaches you how to meet Icelandic women while in Iceland.   Here s what you ll find inside...     Advice on the time of year to visit  Description of the  village-like feel  of Iceland and what this means to you when it comes to meeting the women  Why you should only visit Reykjavik and not bother with other cities (if all you want to do is get fast romance)  The type of lodgings and materials you ll need to maximize your chance of gaining intimacy  How to do Iceland on the cheap (I share how I kept my expenses down to $60 a day while having my own apartment)  The low-down on the drinking culture: most common liquors, typical prices, and Icelandic drinking customs   Most of the book is dedicated to the women. You ll read...     A description of an Icelandic girl s appearance, body shape and size, personality, and vibe  How to deal with an Icelandic girl s skeptical, non-flirtatious, shy, and feminist nature  The two qualities that Icelandic girls use to pick a man for romance  A detailed breakdown of the five types of Icelandic girls, and which is the easiest to romance  How many approaches you ll likely have to do in order to romance your first Icelandic girl  How to set up meetings with girls on Iceland s biggest dating site before you even arrive (I share a message template so all you ll have to do is copy-and-paste)   You must experience Iceland s nightlife. I share...     A complete breakdown on how to have fun at night, including the time you should head out the door to run game  How the American one-night stand culture is completely different from Iceland s  How to run  last call  game, a method that leads to the most amount of fast romance  My favorite opener to use on Icelandic girls  The best way to answer their most common questions, such as  What are you doing here?  and  How long are you going to stay?   Why using long, witty, and fun conversation is a poor method to seducing Icelandic women (I teach you tactics that are simpler and more effective)  Why you shouldn t try to kiss an Icelandic girl in the bar  How to perform the afterparty move, the most valuable tool in your night romance repertoire  Ann effective hail mary move if you have no prospects and all the bars are closed  Why Iceland doesn t have a dating culture, and what that means for you   The book has you covered with topics you may not have considered...     How to reapproach Icelandic girls that you keep running into  Notes on how you ll be perceived based on your race  What type of clothing to pack for what is one of the most stylish countries in the world   I wrap the book up with stories and logistical information. You ll read...     6 short stories that offer additional insight and information to Icelandic culture, including humorous examples of seducing Icelandic women  Tourist breakdown of Reykjavik, where I explain my favorite daytime spots and tours  List of the 13 best bars and clubs to meet Icelandic women, including the bar that I proclaim as the easiest place to get romance in Reykjavik  A rundown of the types of nature and adventure tours you can take while in the country   The 80-page book is organized into five chapters...     Welcome To Iceland:  City background and logistics   Girls:  How they look and act   Game:  How to meet them   Stories:  Six short stories from my time in Iceland   Reykjavik:  Details on the capital city  Bang Iceland aims to be a must-read for any Western man who wants to meet Icelandic woman while visiting the country.",Roosh V,Travel,1466206748
66,A History of the Episcopal Church - Third Revised Edition: Complete through the 78th General Convention,http://ecx.images-amazon.com/images/I/51fAi%2BzIkvL.jpg,"This thorough, carefully researched history sets church events against the background of social changes. This third revised edition will be up-to-date through the events of the 2012 General Convention of the Episcopal Church.  ",Robert W. Prichard,Christian Books & Bibles,081922877X
67,Guia de ConversaÃ§Ã£o PortuguÃªs-Polaco e vocabulÃ¡rio temÃ¡tico 3000 palavras (Polish Edition),http://ecx.images-amazon.com/images/I/51pRQ17%2B5hL.jpg,"   Guia de Conversação português-polaco e vocabulário temático 3000 palavras    A coleção de frases de viagem ""Vai tudo correr bem!"" publicada pela T&P Books é concebida para pessoas que vão ao estrangeiro em viagens de turismo e negócios. Os livros de frases contêm o que é mais importante - o essencial para uma comunicação básica. Este é um conjunto indispensável de frases para ""sobreviver"" no estrangeiro.    Este Guia de Conversação irá ajudá-lo na maioria das situações em que precise de perguntar alguma coisa, obter direções, saber quanto custa algo, etc. Pode também resolver situações de difícil comunicação onde os gestos simplesmente não ajudam.    Alguns dos tópicos constantes do Guia de Conversação são: perguntar por direções, Sinais, Transportes, Compra de bilhetes, Hotel, Restaurante, Shopping, Saudações, Conhecidos, Comunicação, Gratidão, Problemas de saúde, Desculpas, Despedidas e muito mais.    Este livro contém uma série de frases que foram agrupadas de acordo com os tópicos mais relevantes. A edição também inclui um pequeno vocabulário que contém aproximadamente 3.000 das palavras mais frequentemente usadas. Outra secção do Guia de Conversação fornece um dicionário gastronômico que pode ajudá-lo a pedir comida num restaurante ou comprar alimentos numa loja.    Leve consigo para a estrada o Guia de Conversação ""Vai tudo correr bem!"" e terá um companheiro de viagem insubstituível, que irá ajudá-lo a encontrar o seu caminho em qualquer situação e ensiná-lo a não recear falar com estrangeiros.      polaco para viagem, conversação em polaco, conversa em polaco, palavras em polaco, guia de conversação em polaco, aprenda polaco, aprender polaco, guia de conversação para viagens polaco, como falar polaco, falar polaco, como aprender a falar polaco, estudar polaco, dialogos em polaco, frases polaco, polaco para conversação, frase em polaco, como falar polaco rapido, treinar conversação em polaco, polaco para viajantes  ",Andrey Taranov,Travel,1784926116
68,In Cold Blood,http://ecx.images-amazon.com/images/I/41c%2BXdn62qL.jpg,"On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. 
 As Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, he generates both mesmerizing suspense and astonishing empathy.  In Cold Blood  is a work that transcends its moment, yielding poignant insights into the nature of American violence. ",Truman Capote,Travel,B000E1ZA3C
69,Katy Perry (People in the News),http://ecx.images-amazon.com/images/I/51tmt%2Bps4lL.jpg,"This contemporary biography series profiles the lives of some of today's most prominent newsmakers; whether covering contributions and achievements or notorious deeds, books in this series examine why these well-known people garner public attention.; ; Offering insight into the lives of people who have made an impact in the modern era, People in the News volumes are sure to be of interest to students researching current topics and popular culture. Through quotations from the individual profiled as well",Anne K. Brown,Teen & Young Adult,1420506099
70,Pathfinder Adventure Path: Rise of the Runelords Anniversary Edition,http://ecx.images-amazon.com/images/I/51sFCZpDhZL.jpg,"   The original  Pathfinder Adventure Path  returns in this complete hardcover edition celebrating five years of  Pathfinder  and 10 years of Paizo Publishing! Expanded and updated to the current  Pathfinder RPG  rules, this unprecedented collection brings together six classic  Pathfinder  adventures to create an entire campaign!   The  Rise of the Runelords Adventure Path  begins with a goblin attack and takes players on an epic journey through the land of Varisia as they track a cult of serial killers, fight depraved backwoods ogres, stop an advancing army of stone giants, delve deep into ancient dungeons to reclaim weapons of unbelievable power, and finally go up against an all-powerful wizard-king in his ancient mountaintop city. In more than 400 action-packed pages, this special anniversary edition expands the original campaign with new encounters throughout, incorporating five years of community feedback. New monsters, detailed locations, and tons of new art make the  Rise of the Runelords Adventure Path  the most beautiful and elaborate campaign ever published for the  Pathfinder Roleplaying Game !  ",James Jacobs,Science Fiction & Fantasy,1601254369
71,Overcoming Trauma through Yoga: Reclaiming Your Body,http://ecx.images-amazon.com/images/I/518YpMDkLvL.jpg," Survivors of trauma whether abuse, accidents, or war can end up profoundly wounded, betrayed by their bodies that failed to get them to safety and that are a source of pain. In order to fully heal from trauma, a connection must be made with oneself, including one s body. The trauma-sensitive yoga described in this book moves beyond traditional talk therapies that focus on the mind, by bringing the body actively into the healing process. This allows trauma survivors to cultivate a more positive relationship to their body through gentle breath, mindfulness, and movement practices.     Overcoming Trauma through Yoga  is a book for survivors, clinicians, and yoga instructors who are interested in mind/body healing. It introduces trauma-sensitive yoga, a modified approach to yoga developed in collaboration between yoga teachers and clinicians at the Trauma Center at Justice Resource Institute, led by yoga teacher David Emerson, along with medical doctor Bessel van der Kolk. The book begins with an in-depth description of trauma and post-traumatic stress disorder (PTSD), including a description of how trauma is held in the body and the need for body-based treatment. It offers a brief history of yoga, describes various styles of yoga commonly found in Western practice, and identifies four key themes of trauma-sensitive yoga. Chair-based exercises are described that can be incorporated into individual or group therapy, targeting specific treatment goals, and modifications are offered for mat-based yoga classes. Each exercise includes trauma-sensitive language to introduce the practice, as well as photographs to illustrate the poses. The practices have been offered to a wide range of individuals and groups, including men and women, teens, returning veterans, and others. Rounded out by valuable quotes and case stories, the book presents mindfulness, breathing, and yoga exercises that can be used by home practitioners, yoga teachers, and therapists as a way to cultivate awareness, tolerance, and an increased acceptance of the self.    ",David Emerson,Medical Books,1556439695
72,Fall of the Double Eagle: The Battle for Galicia and the Demise of Austria-Hungary,http://ecx.images-amazon.com/images/I/51DIVvI8ZFL.jpg,"  Although southern Poland and western Ukraine are not often thought of in terms of decisive battles in World War I, the impulses that precipitated the battle for Galicia in August 1914 and the unprecedented carnage that resulted effectively doomed the Austro-Hungarian Empire just six weeks into the war.  In  Fall of the Double Eagle , John R. Schindler explains how Austria-Hungary, despite military weakness and the foreseeable ill consequences, consciously chose war in that fateful summer of 1914. Through close examination of the Austro-Hungarian military, especially its elite general staff, Schindler shows how even a war that Vienna would likely lose appeared preferable to the  foul peace  the senior generals loathed. After Serbia outgunned the polyglot empire in a humiliating defeat, and the offensive into Russian Poland ended in the massacre of more than four hundred thousand Austro-Hungarians in just three weeks, the empire never recovered. While Austria-Hungary s ultimate defeat and dissolution were postponed until the autumn of 1918, the late summer of 1914 on the plains and hills of Galicia sealed its fate. ",John R. Schindler,History,1612347657
73,Journey of the Magi: Travels in Search of the Birth of Jesus; New Edition,http://ecx.images-amazon.com/images/I/41V0N3FFZHL.jpg,Rare book,Paul William Roberts,Travel,1845112423
74,Papua New Guinea (Hema Maps International),http://ecx.images-amazon.com/images/I/51cx8jWoAvL.jpg,"Folded paper road and travel map of New Zealand. Distinguishes between major and minor roads and features elevation tinting. Includes an index of towns and places. Scale 1:2,167,000.",Hema,Travel,1875610014
75,The NEPA Litigation Guide,http://ecx.images-amazon.com/images/I/51VHoujhxJL.jpg,"  The National Environmental Policy Act (NEPA) introduced the environmental impact statement, transformed decision making by federal agencies, and spurred the growth of an extensive body of environmental law. This book takes a close look at the litigation of NEPA cases, including jurisdiction and related issues, standard and scope of judicial review, and the specific concerns of litigators. Written by experienced practitioners and scholars, this comprehensive guide identifies key NEPA issues and offers solutions to the challenges faced in practice.       This edition now features a chapter on climate change and its relationship to the NEPA process; updated chapters highlight recent cases and provide information on new policies, such as monitoring and mitigation, from the Council on Environmental Quality (CEQ), the body created by the statute to provide guidance and oversight to other federal agencies on NEPA compliance.      Throughout the book, experts summarize hundreds of key cases involving procedural or timing questions; the public participation process; alternatives analysis; limits of knowledge; and more. Appendices include the actf, CEQ regulations, and FAQs.  ",,Law,1614385165
76,Guyana,http://ecx.images-amazon.com/images/I/213GJA-vYVL.jpg,"Updated edition of the lavishly-illustrated insight into the unique and little-known Caribbean nation of Guyana. Known as the Land of Many Waters, Guyana is located on the north-eastern shoulder of South America. It occupies an area slightly smaller than the UK and is the continent's only English-speaking nation. With a majority population - almost equally - of both African and Indian heritage, Guyanese society has been influenced by many traditions and customs and is, today, the quintessential Caribbean nation.",,Travel,1906190100
77,Mysterious Disappearances (Raintree Freestyle: Out There?),http://ecx.images-amazon.com/images/I/51z7Y-CKNfL.jpg,"This title looks at the strange stories of people and objects that have gone without a trace. From the Bermuda Triangle to kidnappings, discover a world of mystery where there are more questions than answers.",John Townsend,Teen & Young Adult,1844432289
78,"Food Lovers' Guide toÂ® Pittsburgh: The Best Restaurants, Markets & Local Culinary Offerings (Food Lovers' Series)",http://ecx.images-amazon.com/images/I/51LGSjvbP0L.jpg," Food Lover's Guide to Pittsburgh is the ultimate guide to the city's food scene and provides the inside scoop on the best places to find, enjoy, and celebrate local culinary offerings. Engagingly written by local foodies, this guide is a one-stop resource for residents and visitors alike to find producers and pureyors of tasty local specialities, as well as a rich array of other, indispensible food-related information including:    One-of-a-kind restaurants and landmark eateries   Speciality food shops   The city's best bakeries   Local drink scene   Food festivals and culinary events   Recipes from top Pittsburgh chefs  ",Sarah Sudar,Travel,1493006444
79,Philosophy of Liberation:,http://ecx.images-amazon.com/images/I/31u0ei%2BX%2BQL.jpg,"Argentinean philosopher, theologian, and historian Enrique Dussel understands the present international order as divided into the culture of the center -- by which he means the ruling elite of Europe, North America, and Russia -- and the peoples of the periphery -- by which he means the populations of Latin America, Africa, and part of Asia, and the oppressed classes (including women and children) throughout the world. In 'Philosophy of Liberation,' he presents a profound analysis of the alienation of peripheral peoples resulting from the imperialism of the center for more than five centuries. Dussel's aim is to demonstrate that the center's historic cultural, military, and economic domination of poor countries is 'philosophically' founded on North Atlantic onthology. By expressing supposedly universal knowledge, European philosophies, argues Dussel, have served to equate the cultural standards, modes of behavior, and rationalistic orientation of the West with human nature and to condemn the unique characteristics of peripheral peoples as nonbeing, nothing, chaos, irrationality. Hence, Western philosophies have historically legitimated and hidden the domination that oppressed cultures have suffered at the hands of the center. Dussel probes multinational corporations, the communications media, and the armies of the center with their counterparts among the Third World elite. The creation of a just world order in the future, according to Dussel, hinges on the liberation of the periphery, based on a philosophy that is able to think the world from the perspective of the poor and to reclaim the Third World's distinct cultural inheritance, which is imbedded in the popular cultures of the poor. Apart from the liberation of the periphery, there will be no future: the center will feed itself on the sameness it has ingrained within itself. The death of the child, of the poor, will be its own death. This is a disquieting but stimulating book for scholars and advanced students of philosophy, ethics, liberation theology, and global politics.",Enrique Dussel,Christian Books & Bibles,159244427X
80,Feltlicious: Needle-Felted Treats to Make & Give,http://ecx.images-amazon.com/images/I/513IJqRWllL.jpg," Bestselling author Kari Chapin ( The Handmade Marketplace ) and needle-felting artist Kerri Wessel concoct a delightful  cookbook  of more than 30 amazing felted foods. The menu features such fare as Good Morning breakfast dishes; Diner Delights; Farmer's Market fruits and vegetables; Sweet Tooth desserts; and Holiday Treats like heart-shaped lollipops for Valentine's Day. Also included: detailed instructions for turning these tasty-looking projects into snack-size jewelry, magnets, ornaments, hairclips, and paperweights.",Kari Chapin,"Crafts, Hobbies & Home",1936096641
81,MOS 2013 Study Guide for Microsoft Excel Expert (MOS Study Guide),http://ecx.images-amazon.com/images/I/51e5uCPxzKL.jpg," Demonstrate your expertise with Microsoft Office! Designed to help you practice and prepare for the 2013 Excel Expert Microsoft Office Specialist (MOS) exams, this all-in-one study guide features:           Full, objective-by-objective exam coverage   Easy-to-follow procedures and illustrations to review essential skills   Includes downloadable practice files   ",Mark Dodge,Computers & Technology,073566921X
82,The Africa Cookbook: Tastes of a Continent,http://ecx.images-amazon.com/images/I/61PcZzYcLDL.jpg,"With more than two hundred traditional and contemporary recipes,  The Africa Cookbook  is a unique window into the long culinary history of a diverse continent. From the savory stews of the western savannah to the curries and chutneys of the Swahili coasts, prominent scholar Jessica Harris has assembled a collection of recipes that reflects the modern innovations and rich heritage of kitchens across Africa. Potatoes with Mint Leaves and Garlic from Algeria and Senegal s classic Theibou Dienn are among the many flavorful dishes that offer a change of pace for contemporary North Americans. Illustrated with archival photographs and peppered with history and anecdote,  The Africa Cookbook  is a celebration of cultures and individuals whose contributions to the way we eat have long been ignored.",Jessica B. Harris,"Cookbooks, Food & Wine",1439193304
83,Veterinary Guide to Horse Breeding,http://ecx.images-amazon.com/images/I/21K3XDFKJ1L.jpg,"A landmark breeding resource for new and seasoned horse owners alike  With millions of recreational riders on the bridle paths today, breeding is becoming increasingly popular among horse owners at all experience levels. Whether you are already enjoying the rich rewards of equine breeding or need down-to-earth advice on whether breeding is right for you and your animal, the Veterinary Guide to Horse Breeding offers a thorough, up-to-date overview of the process.  From selecting the best horses to mating, pregnancy, birthing, and caring for a newborn foal, this is the authoritative resource you'll want by your side at all stages of the breeding process to bring healthy, beautiful foals into your life. Features include: * Guidance on evaluating mares and stallions from bloodline and performance record to overall health and appearance * Key breeding techniques such as artificial insemination, pasture breeding, and hand breeding * Pregnancy essentials including testing, gestation, care of pregnant mares, and dealing with complications  * Foaling fundamentals: signs of approaching labor, labor and delivery, care of the postpartum mare, and more * A complete immunization schedule, physiological evaluation tables and procedures, and a thorough glossary of terms * More than 100 photos and drawings illustrating anatomy, techniques, and procedures",James M. Giffin MD,Medical Books,158245003X
84,America's First Crisis: The War of 1812,http://ecx.images-amazon.com/images/I/51bFlKqivhL.jpg, Engaging and accessible account of the war that helped forge the American nation.   ,Robert P. Watson,History,1438451342
85,Painted Blossoms: Creating Expressive Flower Art with Mixed Media,http://ecx.images-amazon.com/images/I/51Bwiny4-yL.jpg,"  Do you long to cultivate more creative joy in your painting?  Flowers are organic, wonderfully forgiving subjects. Each one is unique; you can't paint one wrong!  Painted Blossoms  will encourage you to welcome creativity with ease as you discover ways to tend the garden within. In addition to watching yourself grow through seven different stepped-out flower projects, you'll learn basic design elements, how to get unstuck from the mud, how to carve your own stamps, cut your own stencils and more.  A sampling of what you'll add to your creative toolshed:  Techniques for creating a wide variety of flower shapes  The know-how to incorporate key design elements into your floral paintings  How to absorb inspiration beyond the garden to include your favorite symbols, intentions and stories  Tips and advice from over a dozen established artists--each with a unique floral style   Nurture today what's waiting to bloom within you with  Painted Blossoms ! ",Carrie Schmitt,"Crafts, Hobbies & Home",1440336741
86,Salads That Inspire: A Cookbook of Creative Salads,http://ecx.images-amazon.com/images/I/61pI4oH-DpL.jpg,Think it's impossible to crave salads? Think again.    ,Rockridge Press,"Cookbooks, Food & Wine",1623154731
87,Global Political Economy: Evolution and Dynamics,http://ecx.images-amazon.com/images/I/51tdgVKwBdL.jpg," After a period in which the global economy appeared prosperous and stable, the economic crisis exposed the fragile foundations of the international financial system and has reshaped the landscape of global political economy. The fourth edition of this popular and widely used text takes full account of recent developments, while continuing to provide an accessible and historically grounded introduction to the field.  The authors trace the evolution of the global economy, from its roots in the fifteenth century, through the Industrial Revolution, and to the post-1945 world order. They proceed to explore in detail the dynamics of global political economy in the twenty-first century, providing systematic coverage of the key spheres of activity, from trade, production and finance to social divisions, the environment, development, ideas, security and governance.  Lucid, engaging and authoritative,  Global Political Economy  introduces an unusually wide range of theoretical approaches, moving beyond a traditional three-paradigm perspective to show how these theories can be applied and how useful they are for understanding key issues and developments. ",Robert O'Brien,Business & Money,1137287365
88,"Serenity, Vol. 2: Better Days",http://ecx.images-amazon.com/images/I/51scx818rSL.jpg,"Serenity: Better Days follows everyone's favorite space cowboys in a thrilling, action-packed adventure, where Mal and his crew take on a heist that promises a big payoff. But when one of Serenity's crew is taken captive and tortured, the gang must put their enduring differences aside and work together to save one of their own, even if it means losing the cash prize of a lifetime! Joss Whedon returns to the world of his blockbuster film Serenity, reuniting with Brett Matthews and Will Conrad, his collaborators on the bestselling 2005 series Those Left Behind.",Joss Whedon,Comics & Graphic Novels,1595821627
89,Carrying Stones: A Spiritual Journey on El Camino,http://ecx.images-amazon.com/images/I/51zDJAfUF2L.jpg,"In 2014, Marcia Whitney-Schenck walked 500 miles alone on the ancient path of El Camino to Santiago de Compostela, Spain. She walked slowly, stopped often to think, prayed, and wrote thirty-three meditations. As many pilgrims, she picked up a stone at the beginning of the pilgrimage, which represented the burdens, the fears, and anxieties that we all carry within ourselves at times. The meditations are meant to be an invitation to journey inward, using El Camino as an inspiration to explore why we carry stones and which ones we need to leave behind.",Marcia Whitney-Schenck,Travel,1515169863
90,A Land Gone Lonesome: An Inland Voyage Along the Yukon River,http://ecx.images-amazon.com/images/I/51eUctaYslL.jpg," In his square-sterned canoe, Alaskan author Dan O Neill set off from Dawson, Yukon Territory, onetime site of the Klondike gold rush, to trace the majestic Yukon River. His journey downriver to Circle City, Alaska, is an expedition into the history of the river and its land, and a record of the inimitable and little known inhabitants of the region. With the distinct perspective of an insider,  A Land Gone Lonesome  gives us an intelligent, rhapsodic-and ultimately, probably the last-portrait of the Yukon and its authentic inhabitants.",Dan O'Neill,Travel,158243364X
91,"Ammo & Ballistics 5: Ballistic Data out to 1,000 Yards for over 190 Calibers and over 2,600 Different Loads, Includes Data on All Factory Centerfire and Rimfire Cartridges for All Rifles and Handguns",http://ecx.images-amazon.com/images/I/519eHr02cML.jpg,"Besides clear and concise writing that clarifies the complexities of ballistics coefficients and energy versus momentum, this revised edition covers 190 calibers from the .17 Mach 2 to the .700 Nitro Express. It contains information on rifle and handgun calibers, and it covers manufacturer, bullet weight, type, and construction. There are over 1,400 tables with ballistic data for every caliber and every load for all commercially loaded hunting ammunition sold in the United States. Tables include velocity, energy, wind drift, bullet drop, and ballistic coefficient up to 500 yards.",Bob Forker,Sports & Outdoors,1571574026
92,PLAYGIRL MAGAZINE April 1974 Peter Lupus 4-page spread!,http://ecx.images-amazon.com/images/I/51ycJ%2BP4TbL.jpg,"img alt="""" src=""/gp/sponsored-products/logging/log-action.html?qualifier=1535788694&id=3822636263776583&widgetName=sp_detail&adId=200002609346371&eventType=2&adIndex=0"">          (function(f) {f(window.P._namespace(""FirebirdSpRendering""));}(function(P) {        P.when('SponsoredProductsViewability').execute(function(SV) {            SV.loadImagePixel(""/gp/sponsored-products/logging/log-action.html?qualifier=1535788694         });    }));  (function(f) {f(window.P._namespace(""FirebirdSpRendering""));}(function(P) {    P.when('A', 'SponsoredProductsViewability').execute(function(A, SV) {        SV.registerViewTrackingElement(A.$(""#sp_detail_1939754143""), ""sp_detail"");    });}));                             Feedback                ",Playgirl Magazine Inc.,"Health, Fitness & Dieting",B000Q1I08C
93,"The South Beach Diet: Good Fats Good Carbs Guide - The Complete and Easy Reference for All Your Favorite Foods, Revised Edition By Arthur Agatston",http://ecx.images-amazon.com/images/I/51zL%2Bt67UGL.jpg,"img alt="""" src=""/gp/sponsored-products/logging/log-action.html?qualifier=1535788706&id=5853263232257907&widgetName=sp_detail&adId=200006062596421&eventType=2&adIndex=0"">          (function(f) {f(window.P._namespace(""FirebirdSpRendering""));}(function(P) {        P.when('SponsoredProductsViewability').execute(function(SV) {            SV.loadImagePixel(""/gp/sponsored-products/logging/log-action.html?qualifier=1535788706         });    }));  (function(f) {f(window.P._namespace(""FirebirdSpRendering""));}(function(P) {    P.when('A', 'SponsoredProductsViewability').execute(function(A, SV) {        SV.registerViewTrackingElement(A.$(""#sp_detail_031255995X""), ""sp_detail"");    });}));                             Feedback                ",-Author-,"Health, Fitness & Dieting",B007RGQ34M
94,Holding On to Hope: A Pathway through Suffering to the Heart of God,http://ecx.images-amazon.com/images/I/51OqilTXmSL.jpg," A healing book for those in the wake of life’s devastating storms.  We can never plan for the unexpected turns of this life that sometimes lead to great personal suffering. Sometimes that suffering can overshadow everything and threaten to pull us under. Nancy Guthrie knows what it is to be plunged into life’s abyss. Framing her own story of staggering loss and soaring hope with the biblical story of Job, she takes you by the hand and guides you on a pathway through pain―straight to the heart of God.  Holding On to Hope  offers an uplifting perspective, not only for those experiencing monumental loss, but for anyone going through difficulty and failure. (Includes an 8-week study on the book of Job for readers who want to dig deeper into what the Bible says about dealing with suffering and grief.)",Nancy Guthrie,Christian Books & Bibles,1414312962
95,Another Fine Myth/Myth Conceptions 2-in1 (Myth 2-in-1),http://ecx.images-amazon.com/images/I/515LB0lEfSL.jpg,"MythAdventures or Myth Adventures is a fantasy series created by Robert Lynn Asprin. After twelve novels by Asprin, published 1978 to 2002, he and Jody Lynn Nye continued the series with seven more books. After his death in May 2008,[1] she intended to complete their plans.[2] The Myth Adventures are noted for and popular for their whimsical nature, myriad characters, and liberal use of puns. After the first book, every title turns on the similarity between the word ""myth"" and the prefix ""mis-"" or the word ""miss"". The inaugural title Another Fine Myth puns on the phrase ""another fine mess"". Chapters are usually headed by made-up quotes by famous or semi-famous persons.[3]",Robert Asprin,Science Fiction & Fantasy,044100931X
96,"Thin-Film Optical Filters, Fourth Edition (Series in Optics and Optoelectronics)",http://ecx.images-amazon.com/images/I/41WtSR-tsAL.jpg," Written by a world-renowned authority of optical coatings,  Thin-Film Optical Filters  , Fourth Edition  presents an introduction to thin-film optical filters for both manufacturers and users. The preeminent author covers an assortment of design, manufacture, performance, and application topics. He also includes enough of the basic mathematics of optical thin films to enable readers to carry out thin-film calculations.      This new edition of a bestseller retains most of the descriptions of older design techniques because of their importance in understanding how designs work. However, this edition includes a substantial amount of new material as well. A new chapter on color takes into account the increasing importance of color in optical coatings. In addition, a new section discusses the effects of gain in optical coatings.      This comprehensive yet accessible book continues to offer valuable insight into the principles, techniques, and processes of successful coating design. It provides the sound foundation required to make further advances in the field. ",H. Angus MacLeod,Science & Math,1420073028
97,The Secrets of Martial Arts: An Isabel Soto History Adventure (Graphic Expeditions),http://ecx.images-amazon.com/images/I/61lRdpN3SyL.jpg,"In graphic novel format, follows the adventures of Dr. Isabel Soto as she explores the history and techniques of karate, tae kwon do, jujitsu, and kung fu.",Christopher L. Harbo,Children's Books,1429648600
98,Mini-implants in Orthodontics: Innovative Anchorage Concepts,http://ecx.images-amazon.com/images/I/51xsx4EyPtL.jpg,"This textbook is both a practical and theoretic reference book for the clinical use of orthodontic implants. The standard concepts of mini-screw selection and placement in various clinical situations are presented for easy incorporation into everyday practice. In addition, solutions to specific orthodontic problems are illustrated through relevant clinical examples and detailed in a thorough discussion of required protocols, indications and contraindications, potential risks, and clinical problem solving. The editors years of clinical experience and international renown in the field have allowed them to recruit collaborators whose expertise complements their own. The end result is an extensive, authoritative, and eminently practical survey of orthodontic implantology.",Bjorn Ludwig,Medical Books,3938947470
99,"Mom, Share Your Life With Me",http://ecx.images-amazon.com/images/I/51-xExZC4yL.jpg,"Your childhood memories are a rich record of the past. With a simple question a day, the stories, people and places that you share on these pages are destined to become a priceless family heirloom. This beautiful, hard bound book is everything you could want in a keepsake journal. The premium Smyth Sewn binding allows users to easily flatten pages during writing yet provides a clean sophistication to the journal. This book is dedicated to preserving your memories.",,Parenting & Relationships,1563830396
100,My Bike (Watch Me Go!),http://ecx.images-amazon.com/images/I/51Rnz8Lg0uL.jpg,"Learning how to ride a bike is an important moment in every childs life. In this volume, readers see how fun it is while learning the basics of biking. This age-appropriate text covers everything from parts of a bike to safety tips, and reminds readers to always wear a helmet. Fun, colorful images, a helpful picture glossary, index, and supplemental websites offer opportunities for additional learning.",Victor Blaine,Children's Books,1499402503
101,Build a Better Athlete:  What's Wrong with American Sports and How To Fix It,http://ecx.images-amazon.com/images/I/51soCisXtRL.jpg,Are great athletes born or does practice make perfect? Are science and technique just as important as athletic ability? The truth is that anyone can improve their athletic performance. This book shows you how in simple and easy-to-read format. Renowned biomechanist/kinesiologist Dr. Michael Yessis dissects the current standards of physical training and explains how athletes of all levels can apply scientific techniques to develop their physical abilities to the highest level.   Build a Better Athlete  is now offered in continuing education credits for NSCA and ACE.,Michael Yessis,Sports & Outdoors,1930546785
102,Cycling Stars: A Trump Card Game (Magma for Laurence King),http://ecx.images-amazon.com/images/I/512WXirJLBL.jpg,Who is the toughest rider of all time? Who is the fastest cycling sprinter the world has ever seen? Would the racers of the sixties beat the champions of today?  Put these long-standing debates to bed with this collection of illustrated cards showing the top stats of the 30 brightest stars from cycle sport history.,,Humor & Entertainment,1856699633
103,Reckless Love,http://ecx.images-amazon.com/images/I/51qiwy32ajL.jpg," One reckless fighter.   One night of passion he can't forget.   The battle between sex and love is fierce and unrelenting.   And love is about to knock him on his ass.     Reckless Love  can be read as a standalone novel, but is a follow up to the  New York Times  and  USA Today  bestseller  Hard to Love.    ",Kendall Ryan,Romance,1505319722
104,The Treatment of Modern Western Medical Diseases with Chinese Medicine,http://ecx.images-amazon.com/images/I/51QzB4RrSzL.jpg,"Since the initial publication of this book, the most complete clinical manual on the Chinese medical treatment of modern Western diseases, it has become far and away the best selling title that we publish. Now this new second edition has been expanded, updated, and improved. The new edition covers 79 common Western diseases, seven more than the previous book. For each disease the book covers both acupuncture and Chinese medicine protocols for treatment as well as a comprehensive review of Western medicine. In addition, all the herb listings have been reformatted as easy-to-read lists instead of paragraphs. The herbs are now listed with pin-yin first and Latin nomenclature second. Finally, all herbal listings have been updated to correspond to changes in the latest edition of Chinese Herbal Medicine: Materia Medica by Bensky, Clavey, and Stoger.",Bob Flaws,"Health, Fitness & Dieting",1891845578
105,City Abandoned: Charting the Loss of Civic Institutions in Philadelphia,http://ecx.images-amazon.com/images/I/51NeO5q0okL.jpg,"Book by Feldman, Vincent David",Vincent David Feldman,Arts & Photography,158988082X
