,Title,Images,Summary,Aurthor,Category,ID
62,Street Foods of Bali,http://ecx.images-amazon.com/images/I/61AU5a%2B-IyL.jpg,"img alt="""" src=""/gp/sponsored-products/logging/log-action.html?qualifier=1535790363&id=1779314032283989&widgetName=sp_detail&adId=200003127218871&eventType=2&adIndex=0"">    </noscript>    <script type=""text/javascript"">(function(f) {f(window.P._namespace(""FirebirdSpRendering""));}(function(P) {        P.when('SponsoredProductsViewability').execute(function(SV) {            SV.loadImagePixel(""/gp/sponsored-products/logging/log-action.html?qualifier=1535790363&id=1779314032283989&widgetName=sp_detail&adId=200003127218871&eventType=2&adIndex=0"");        });    }));</script><script type=""text/javascript"">(function(f) {f(window.P._namespace(""FirebirdSpRendering""));}(function(P) {    P.when('A', 'SponsoredProductsViewability').execute(function(A, SV) {        SV.registerViewTrackingElement(A.$(""#sp_detail_1623158613""), ""sp_detail"");    });}));</script><div class=""pa_feedbackForm_container_sp_detail"" style=""display:none;"">    <div class=""sp_adID"">        <span class=""a-declarative"" data-action=""a-modal"" data-a-modal=""{&quot;footer&quot;:&quot;&lt;div id='sponsored-products-feedback-footer'&gt;&quot;,&quot;closeButton&quot;:&quot;false&quot;,&quot;name&quot;:&quot;sponsored-products-feedback-modal-sp_detail&quot;,&quot;width&quot;:&quot;350&quot;,&quot;header&quot;:&quot;Share your feedback&quot;,&quot;url&quot;:&quot;/gp/sponsored-products/lazyLoad/handler/sp-feedback-handler.html?pl=11LNWs%2FhaE7cpF1xunzaft%2FYYB8f0SR%2B1JxE%2FlULMf5TpmcOa8tebHtlAswv5IBvLob3ptUduaW2%0AHbDmbTY0On3fLBtZvPJOGm1wlig79fvOkA3VVqrKb3kPIPLLMOG%2B3ytxZCEP9kAOp3ccKa26ROsq%0AWU9u9v8WWtI7413tUWJE4rXwwG98%2FBJ4NMIadEi2pkU6lW5kcMuI26tR2Xq%2FoHf7f6BMgkEmKgTm%0AKWRnc241dlvhiKnzPQ%2FSltTxqlDHDT5uATTkJ3u47Yz%2BrNkXu8VOk0A2QPqN6hd3NL55HxqY%2BU1v%0AKnGnySXpEyypgzxAXseFsgTjz83RH6tnAlyngYftiqNcqdYAwC5UpD6gpVGoyMFu2ruIHWLXsQpx%0Ar8eZnc4ceMprCeYPoI%2F0gbd7ztPmwniKeymJPOik4KqMpEQfEnQ48kDYM9FFtyW1o9qq3zYR%2ByJY%0AIy5JNxVHRrWi%2BL1Ww5CHkbI%2BH1ndvKSCrHmqvkrdLFXdT%2Fn45%2BF2ktwVWK3FPr0ET8ARR9yah2uN%0AY%2BthwXIy6ge2AFPs1LjL0t7Khpdgjsz7I4jwFbwwx16PLGLsPZH2hK%2FgLZy3IjSAE1ZTvnngtIRF%0AijR%2BDP495CuURkI40s1jVvNc87Lt1o5z&quot;}"">            <a href=""javascript:void(0)"" class=""a-popover-trigger a-declarative"">Feedback<i class=""a-icon a-icon-popover""></i></a>        </span>    ",Heinz Von Holzen,"Cookbooks, Food & Wine",9812615253
63,Principal Bundles: The Quantum Case (Universitext),http://ecx.images-amazon.com/images/I/41zRzM3XbEL.jpg,"<p>This introductory text is the first book about quantum principal bundles and their quantum connections&nbsp;which&nbsp;are natural generalizations to non-commutative geometry of principal bundles and their connections in differential geometry. To make for a more self-contained book there is also much background material on Hopf algebras, (covariant) differential calculi, braid groups and compatible conjugation operations. The approach is slow paced and intuitive in order to provide researchers and students in both mathematics and physics ready access to the material.</p>",Stephen Bruce Sontz,Computers & Technology,3319158287
64,The Shadow Of What Was Lost (The Licanius Trilogy) (Volume 1),http://ecx.images-amazon.com/images/I/51j7Ox%2BjaPL.jpg,"<i>It has been twenty years since the end of the war. The dictatorial Augurs - once thought of almost as gods - were overthrown and wiped out during the conflict, their much-feared powers mysteriously failing them. Those who had ruled under them, men and women with a lesser ability known as the Gift, avoided the Augurs' fate only by submitting themselves to the rebellion's Four Tenets. A representation of these laws is now written into the flesh of any who use the Gift, forcing those so marked into absolute obedience.</i> <br> <br> As a student of the Gifted, Davian suffers the consequences of a war fought – and lost – before he was born. Despised by most beyond the school walls, he and those around him are all but prisoners as they attempt to learn control of the Gift. Worse, as Davian struggles with his lessons, he knows that there is further to fall if he cannot pass his final tests. <br> <br> But when Davian discovers he has the ability to wield the forbidden power of the Augurs, he sets into motion a chain of events that will change everything. To the north, an ancient enemy long thought defeated begins to stir. And to the west, a young man whose fate is intertwined with Davian’s wakes up in the forest, covered in blood and with no memory of who he is…",James Islington,Science Fiction & Fantasy,099258020X
65,Fill In The Blanks To Learning Android 4 - Ice Cream Sandwich,http://ecx.images-amazon.com/images/I/51ZcW0FGlFL.jpg,"Learn all Google's newest operating system for Tablets & Smartphones, Android 4. Fill In The Blanks To Learning Android 4 (Ice Cream Sandwich) will make the Android 4 easy to learn while showing you the many additional features Google has implemented to make the The newest version of Android one of the best yet! We Will Cover These Topics And More: 1. Properly Setting Up Your Android 4 Device For The First Time And How To Navigate The Different Screens & Menus 2. Setting Up And Using Your E-Mail 3. How To Download & Navigate Through Your Music & Pictures 4. Other Cool Things You Can Do With Your Android 4 Device Such As Printing To A Cloud-Based Printer & Using Your Device As A GPS Unit 5. How To Implement Security Features To Prevent Others From Getting Information Off Your Device!",Reginald T Prior,Computers & Technology,1469952971
66,Tales of Shri Jalaram Bapa:: Jalaram Bapa ni Katha. True life tales of Shri Jalaram Bapa. These are real life short stories of Shri Jalaram Bapa. ... generations and have truely blessed mankind.,http://ecx.images-amazon.com/images/I/61JHywhsNKL.jpg,"This book is about Jalaram Bapa, a saint born in Virpur; Gujarat. His devotees worship him no less than any other God. Mainly Gujaratis worship Jalaram Bapa. This book is a compilation of His parchas - the miracles performed by JalaBapa. These parchas were passed on from generations to generations. We heard them from our grand parents and for the benefit of all our readers, we have tried to compile them all together. This book is ideal to be read out to children as bed-time stories. Surely to benefit readers of all age.",Mr. Chirag Paresh Sheth,Religion & Spirituality,1508511918
67,Office 2013 All-In-One For Dummies,http://ecx.images-amazon.com/images/I/51V9%2BU2SCRL.jpg,"<p>Home and business users around the globe turn to MicrosoftOffice and its core applications every day. Whether you're anewcomer or a veteran Office user, this friendly-but-informativeguide provides in-depth coverage on all the newest updates andenhancements to the Office 2013 suite. With an overview of toolscommon to all Office applications and self-contained minibooksdevoted to each Office application, <i>Office 2013 All-in-One ForDummies</i> gets you up to speed and answers the questions you'llhave down the road.</p><ul> Explores the new Office interface and explains how it worksacross the applications</li> Features eight minibooks that cover Word, Excel, PowerPoint,Outlook, Access, Publisher, OneNote, common Office tools, and waysto expand Office productivity</li> Highlights the new online versions of Word, Excel, andPowerPoint as well as changes to the interface and new tools andtechniques</li></ul><p><i>Office 2013 All-in-One For Dummies</i> makes it easy to learnto use Office and gets you up and running on all the changes andenhancements in Office 2013.</p>",Peter Weverka,Computers & Technology,1118516362
68,We the Jury: The Impact of Jurors on Our Basic Freedoms : Great Jury Trials of History,http://ecx.images-amazon.com/images/I/51mdIrv3d9L.jpg,"Your worst nightmare: twelve jurors stand between you and a miscarriage of justice, and none of them have read this book. Few doubt that America's judicial system is one of the fairest, but we all agree it has problems. Sometimes it must enforce unjust laws, or administer laws in ways that seem inherently unfair. In criminal cases, each participant has his or her proper role: the government prosecutes, the lawyer for the accused defends, the judge referees, and the jury renders a decision. But few realize the extraordinary power juries have to take control of court proceedings gone wrong, to undo miscarriages of justice, and help preserve the liberties we hold so dear.<br><br>Judicial history student and veteran juror Godfrey D. Lehman has compiled 12 cases from England and the U.S. in which jurors have taken it upon themselves, as a matter of conscience, to nullify or overturn horrific laws that endangered our freedoms. This is a wake-up call and a must read for historians, lawyers, judges, and, of course, all prospective jurors.",Godfrey D. Lehman,Law,1573921440
69,"The Open Incubator Model: Entrepreneurship, Open Innovation, and Economic Development in the Periphery",http://ecx.images-amazon.com/images/I/61B9qxXVFhL.jpg,"<DIV>Small and medium-sized enterprises represent the main generator of economic growth in developed and developing countries; yet many entrepreneurs in the periphery confront strong competition, high costs of resources, and low local purchasing power, forcing them to migrate outside of their country of origin in order to impact global and local economic growth. <I>The Open Incubator Model</I> offers an analysis of the different support policies needed in big cities, rural areas and country borders, along with a business model to generate internal growth. Through international case studies in the US, UK, India, Italy, Benin and Israel, Dr. Bijaoui outlines a ""law of the few"" to generate cooperation and improve the business models of local SMEs.<BR>",Ilan Bijaoui,Business & Money,1137492392
70,Vertebrate Palaeontology,http://ecx.images-amazon.com/images/I/51tlHTeN2GL.jpg,"<p>Vertebrate palaeontology is a lively field, with new discoveriesreported every week&#8230; and not only dinosaurs! This new editionreflects the international scope of vertebrate palaeontology, witha special focus on exciting new finds from China.</p><p>A key aim is to explain the science. Gone are the days ofguesswork. Young researchers use impressive new numerical andimaging methods to explore the tree of life, macroevolution, globalchange, and functional morphology.</p><p>The fourth edition is completely revised. The cladisticframework is strengthened, and new functional and developmentalspreads are added. Study aids include: key questions, research tobe done, and recommendations of further reading and web sites.</p><p>The book is designed for palaeontology courses in biology andgeology departments. It is also aimed at enthusiasts who want toexperience the flavour of how the research is done. The book isstrongly phylogenetic, and this makes it a source of current dataon vertebrate evolution.</p>",Michael Benton,Science & Math,1118406842
71,Little Miss Sunshine: The Shooting Script,http://ecx.images-amazon.com/images/I/51Bq8bU3MoL.jpg,"<p>Here is the official screenplay book tie-in to the uproarious American family road comedy. Brazenly satirical yet deeply human, <em>Little Miss Sunshine</em> introduces audiences to one of the most endearingly fractured families in recent cinema history. Meet the Hoovers, a motley six-member family who treks from Albuquerque to Redondo Beach, California, to fulfill the deepest wish of seven-year-old Olive, an ordinary little girl with big dreams.</p><p>Starring Greg Kinnear, Toni Collette, Steve Carell, Abigail Breslin, Paul Dano, and Alan Arkin, the film strikes a nerve with everyone who's ever been awestruck by how their muddled families seem to make it after all. On the way the family must deal with crushed dreams, heartbreak, and a broken-down VW bus, leading up to the surreal Little Miss Sunshine competition itself. On their travels through this bizarrely funny landscape, the Hoovers learn to trust and support each other along the path of life, no matter what the challenge.</p>",Michael Arndt,Humor & Entertainment,1557047707
72,Heartless,http://ecx.images-amazon.com/images/I/51Lmuk8n4GL.jpg,"“Powered by an expressive black and white drawing style, reminiscent of Robert Crumb and the meticulous pointillist technique of Drew Friedman, the dark undertone of Bunjevac’s humour brings into light the range of socio-political issues her comics deal with, such as gender, nationalism or urban alienation, always from an ironic feminist perspective. Her chain-smoking, slightly alcoholic and manically depressed character Zorka may just be today’s ultimate antiheroine. A Balkan immigrant in the Brave New World, working in that same meat factory for the last twenty years, tormented by family constraints and her own secrete desires… we simply can’t get enough of her.” ― BTurn",Nina Bunjevac,Comics & Graphic Novels,1894994647
73,Day of the Dead (On My Own Holidays),http://ecx.images-amazon.com/images/I/618FvUWzeaL.jpg,"<p>The Day of the Dead is a special holiday celebrated in many places like Mexico and parts of the United States to honor people who have died. It's celebrated between October 31 and November 2 and there are costumes, but no one says, ""trick-or-treat."" There is candy, but this candy is shaped like coffins and skeletons. People picnic in cemeteries, go to parades, set off fireworks, and bake special breads and meals to remember friends and family members who have died.</p>",Linda Lowery,Children's Books,1575055813
74,The Mexico City Reader  (The Americas Series),http://ecx.images-amazon.com/images/I/61Ye5ngVMwL.jpg,"Mexico City is one of Latin America's cultural capitals, and one of the most vibrant urban spaces in the world. The Mexico City Reader is an anthology of ""Cronicas"" -short, hybrid texts that are part literary essay, part urban reportage-a",,Travel,029919714X
75,Comprehensive Hard Materials,http://ecx.images-amazon.com/images/I/51QVIiwe7ZL.jpg,"<p><i>Comprehensive Hard Materials</i> deals with the production, uses and properties of the carbides, nitrides and borides of these metals and those of titanium, as well as tools of ceramics, the superhard boron nitrides and diamond and related compounds. Articles include the technologies of powder production (including their precursor materials), milling, granulation, cold and hot compaction, sintering, hot isostatic pressing, hot-pressing, injection moulding, as well as on the coating technologies for refractory metals, hard metals and hard materials. The characterization, testing, quality assurance and applications are also covered. <i>Comprehensive Hard Materials</i> provides meaningful insights on materials at the leading edge of technology. It aids continued research and development of these materials and as such it is a critical information resource to academics and industry professionals facing the technological challenges of the future.</p><ul> Hard materials operate at the leading edge of technology, and continued research and development of such materials is critical to meet the technological challenges of the future. Users of this work can improve their knowledge of basic principles and gain a better understanding of process/structure/property relationships.</li> With the convergence of nanotechnology, coating techniques, and functionally graded materials to the cognitive science of cemented carbides, cermets, advanced ceramics, super-hard materials and composites, it is evident that the full potential of this class of materials is far from exhausted. This work unites these important areas of research and will provide useful insights to users through its extensive cross-referencing and thematic presentation.</li> To link academic to industrial usage of hard materials and vice versa, this work deals with the production, uses and properties of the carbides, nitrides and borides of these metals and those of titanium, as well as tools of ceramics, the superhard boron nitrides and diamond and related compounds. </li></ul>",,Science & Math,008096527X
76,"The Endocrine System: Hormones, Growth, and Development (The Library of Sexual Health)",http://ecx.images-amazon.com/images/I/51KyUNurseL.jpg,"Presents information about the endocrine system, including what it is, conditions and diseases associated with it, how endocrine problems are diagnosed and treated, how to maintain a healthy endocrine system, and ways of coping with endocrine problems.","Michael R., M.D. Wilson",Teen & Young Adult,1435850629
77,tmux: Productive Mouse-Free Development,http://ecx.images-amazon.com/images/I/41zmfkNCAkL.jpg,"<p>Your mouse is slowing you down. The time you spend context switching between your editor and your consoles eats away at your productivity. Take control of your environment with tmux, a terminal multiplexer that you can tailor to your workflow. Learn how to customize, script, and leverage tmux's unique abilities and keep your fingers on your keyboard's home row.<br/><br/>It's pretty common for a modern developer to have a database console, web server, and a text editor running at the same time. Switching between these with the mouse takes up valuable time and can break your concentration. By using tmux, you can improve your productivity and regain your focus. This book will show you how.<br/><br/>You'll learn how to manage multiple terminal sessions within tmux using only your keyboard. You'll see how to manage and run programs side-by-side in panes, and you'll learn how to create the perfect development environment with custom scripts so that when you're ready to work, your programs are waiting for you. Then you'll discover how to manipulate text with tmux's copy and paste buffers. Once you've got the basics down, you'll discover how easy it is to use tmux to collaborate remotely with others. Finally, you'll explore more advanced usage as you manage multiple tmux sessions, add custom scripts into the tmux status line, and integrate tmux with your system.<br/><br/>Whether you're an application developer or a system administrator, you'll find many useful tricks and techniques to help you take control of your terminal.<br/><br/><b>What You Need:</b><br/><br/>You'll need a Mac or Linux machine and some experience using shell commands.</p>",Brian P. Hogan,Computers & Technology,1934356964
78,"The Belgian Antarctic Expedition Under the Command of A. de Gerlache de Gomery. Summary Report of the Voyage of the ""Belgica"" in 1897-1898-1899",http://ecx.images-amazon.com/images/I/41wMvUqR-AL.jpg,"<br/> This work has been selected by scholars as being culturally important, and is part of the knowledge base of civilization as we know it. This work was reproduced from the original artifact, and remains as true to the original work as possible. Therefore, you will see the original copyright references, library stamps (as most of these works have been housed in our most important libraries around the world), and other notations in the work. <br/><br/>This work is in the public domain in the United States of America, and possibly other nations. Within the United States, you may freely copy and distribute this work, as no entity (individual or corporate) has a copyright on the body of the work.<br/><br/>As a reproduction of a historical artifact, this work may contain missing or blurred pages, poor pictures, errant marks, etc. Scholars believe, and we concur, that this work is important enough to be preserved, reproduced, and made generally available to the public. We appreciate your support of the preservation process, and thank you for being an important part of keeping this knowledge alive and relevant.<br/><br/>",Anonymous,History,1297820630
79,400 Calorie Fix: The Easy New Rule for Permanent Weight Loss!,http://ecx.images-amazon.com/images/I/61YBmS6ZjNL.jpg,"<div> <div>The latest research shows that controlling calories is consistently the most successful weight loss method. Of course, counting calories is nothing new. But only 15 percent of us know how many calories we should eat to maintain a healthy weight. Most of us don&rsquo;t know how many calories are in the foods we eat. And most of us don&rsquo;t really want to have to count calories.<br /><br />",Liz Vaccariello,"Health, Fitness & Dieting",1605294942
80,Essentials of Sports Law: Third Edition,http://ecx.images-amazon.com/images/I/51J189FCREL.jpg,"<p>Wong provides a comprehensive review of the various sports law issues facing professional,intercollegiate, Olympic, high school, youth, and adult recreational sports. Major topics include tort liability, contracts/waivers, antitrust law, labor law, constitutional law, gender discrimination, drug testing, intellectual property law, broadcasting laws pertaining to sports agents, business and employment law, internet gambling, and athletes with disabilities.</p><p></p><p>Discussions of legal concepts are supplemented with summaries and excerpts from hundreds of actual sports cases. Wong cites a variety of books, law review articles, newspaper articles, and Web links for those requiring further information on particular topics. This text-professional guide serves as an invaluable resource to those involved, or studying to become involved, in the vast industry of sports, including attorneys and agents, high school and college athletic administrators, coaches, athletes, labor negotiators, front-office employees, mponsors, marketers, referees and officials, facility managers, event managers, product manufacturers, and others.</p>",Glenn M. Wong,Law,027597121X
81,Mastering Pot-Limit Omaha: The Modern Aggressive Approach (D&B Poker),http://ecx.images-amazon.com/images/I/51sBwP-RnsL.jpg,"<span><span>Most PLO books advocate a highly conservative game-plan&mdash;this style is outdated and will get you crushed in today&rsquo;s games.</span></span><br /><br /><span><span>Mastering PLO is different. It is a unique and remarkable book and will teach you a whole new approach to the game.</span></span><br /><br /><span><span>Mastering PLO:</span></span><br /><br /><ul start=""1"" style=""margin-top:0;margin-bottom:0;""> <span>Teaches you an aggressive style</span></li> <span>Provides you with clear guidelines on how to develop your game-plan and adjust to your opponents</span></li> <span>Teaches you how to analyse board textures &ndash; the key to success in PLO</span></li></ul><br /><span><span>Herbert Okolowitz (Huck3be1n) and Wladimir Taschner (Insyder19) are professional poker players, PLO experts and sought-after coaches on Pokerstrategy.com. They will explain in detail:</span></span><br /><br /><ul start=""1"" style=""margin-top:0;margin-bottom:0;""> <span>Pre-flop hand selection and pre-flop hand dynamics &ndash; including analysis of wide 3- and 4-bet ranges and the theory behind optimal bet-sizing.</span></li> <span>How to use equity shifts on turn and river to your advantage and how to bluff correctly. </span></li> <span>How to understand the game better and develop a holistic view of the play: connecting preflop decisions to action on later streets.</span></li></ul><br /><span><span>Plus much more&hellip;</span></span><br /><br /><span><span>A clear game-plan and the right mind-set will improve your win-rate tremendously and give you the edge against your opponents.</span></span><br /><br /><span><span>Mastering PLO will give you that edge!</span></span>",Herbert Okolowitz,Humor & Entertainment,1909457310
82,Oracle Database 12c Backup and Recovery Survival Guide,http://ecx.images-amazon.com/images/I/51ngNilAwWL.jpg,"<p>A comprehensive guide for every DBA to learn recovery and backup solutions</p> <p><b>Overview</b></p> <ul>  A practical reference to all Oracle backup and recovery options available, making it essential to any DBA in the world</li>  A valuable guide for readers on the most frequent backup and recovery scenarios they can find in real life</li>  Provides hands-on examples and a full hands-on lab to practise everything learned in this book</li> </ul> <p><b>In Detail</b></p> <p>The three main responsibilities of a successful DBA are to ensure the availability, recoverability, and performance of any database. To ensure the recoverability of any database, a DBA needs to have a strong backup and recovery skills set. Every DBA is always looking for a reference book that will help them to solve any possible backup and recovery situation that they can come across in their professional life.</p> <p>Oracle Database 12c Backup and Recovery Survival Guide has the unique advantage to be a reference to all Oracle backup and recovery options available, making it essential for any DBA in the world. If you are new to Oracle Database, this book will introduce you to the fantastic world of backup and recovery that is vital to your success. If you are an experienced DBA, this book will become a reference guide and will also help you to learn some possible new skills, or give you some new ideas you were never aware about. It will also help you to easily find the solution to some of the most well known problems you could find during your career as a DBA. This book contains useful screenshots, scripts, and examples that you will find more than useful.</p> <p>Most of the books currently available in the market concentrate only on the RMAN utility to backup and recovery. This book will be an exception to the rule and will become a must-have reference, allowing you to design a real and complete backup and recovery strategy. It covers the most important topics on Oracle database such as backup strategies, Nologging operations, new features in 12c, user managed backups and recoveries, RMAN (including reporting, catalog management, troubleshooting, and performance tuning), advanced data pump, Oracle Enterprise Manager 12c and SQL Developer.</p> <p>""Oracle Database 12c Backup and Recovery Survival Guide"" contains everything a DBA needs to know to keep data safe and recoverable, using real-life scenarios.</p> <p><b>What you will learn from this book</b></p> <ul>  Understand all the options available for the backup and recovery of a database to be used in case of a disaster and how to survive it</li>  Learn how to use RMAN and take advantage of its advanced functionalities</li>  Use Data Pump for more than just backups, learning how powerful this utility is</li>  Take advantage of Nologging operations in a safe and proper way</li>  Perform backups and recovery properly in Multitenant and non-CDB environments</li>  Take advantage of OEM12c and SQL Developer to fulfil your backup requirements and reduce risk in your organization</li>  Understand the new features in 12c offered for backup and recovery and how to perform backup and recovery operations on it</li>  Get familiar with the available range of Oracle products for backup and recovery, not only RMAN</li> </ul>",Francisco Munoz Alvarez,Computers & Technology,1782171207
83,More Creative Lettering: Techniques & Tips from Top Artists,http://ecx.images-amazon.com/images/I/61L7xGOqO1L.jpg,"<DIV><DIV><I>Creative Lettering</I> was so popular that crafters wanted MORE. Welcome this fabulous follow-up to that bestselling book, featuring 15 entirely new contributors. Jenny Doh has gathered a variety of big names and talented up-and-coming artists, who all provide tips on their favorite forms on hand lettering and tools, along with complete alphabets and how-to projects based on their signature styles. With everything from posters and cards to signs, collages, and journals, this eye-catching collection will inspire readers as they create their own, personalized work.",Jenny Doh,Arts & Photography,1454708921
84,Lessons in Courage: Peruvian Shamanic Wisdom for Everyday Life,http://ecx.images-amazon.com/images/I/516Xmo7oDML.jpg,"<p>Buckminster Fuller reminds us, “You never change things by fighting the existing reality. To change something, build a new model that makes the old model obsolete.” This book provides just that model, as well as concrete practices for living it. The model is derived from ancient wisdom traditions, modeled on the pulses, cycles, and seasons of our beloved Earth Mother. It deeply grounds the reader in a “this world” spirituality that blends indigenous cosmologies, earth-honoring ritual, and time-tested models for living with modern sensibilities.</p> <p>The proposed text presents the biography of an extraordinary man, who has awakened to his own purpose in life as a servant to conscious evolution for all humanity. His life story, full of adventure, cosmic “interventions,” and synchronicity is on par with that of the luminaries documented in these biographies and the time has come for his story to be told. don Oscar’s story is also the story of each one of us. The only reason his story has not been told until now is that he was first charged with creating opportunities for others to awaken to their higher purpose through his teachings as part of an oral tradition. Now, after completing his “compacto” (sacred contract) with his Andean teachers and mentors, he has been released from service to tell his story in writing. And it is an extraordinary story, dealing with nothing less than individual, spiritual, and planetary transformation.</p>",Oscar Miro-Quesada,Religion & Spirituality,193790718X
85,Applied Predictive Analytics: Principles and Techniques for the Professional Data Analyst,http://ecx.images-amazon.com/images/I/514vVVEHnJL.jpg,"<p><b>Learn the art and science of predictive analytics &#8212;techniques that get results</b></p><p>Predictive analytics is what translates big data intomeaningful, usable business information. Written by a leadingexpert in the field, this guide examines the science of theunderlying algorithms as well as the principles and best practicesthat govern the art of predictive analytics. It clearly explainsthe theory behind predictive analytics, teaches the methods,principles, and techniques for conducting predictive analyticsprojects, and offers tips and tricks that are essential forsuccessful predictive modeling. Hands-on examples and case studiesare included.</p><ul> The ability to successfully apply predictive analytics enablesbusinesses to effectively interpret big data; essential forcompetition today</li> This guide teaches not only the principles of predictiveanalytics, but also how to apply them to achieve real, pragmaticsolutions</li> Explains methods, principles, and techniques for conductingpredictive analytics projects from start to finish</li> Illustrates each technique with hands-on examples and includesas series of in-depth case studies that apply predictive analyticsto common business scenarios</li> A companion website provides all the data sets used to generatethe examples as well as a free trial version of software</li></ul><p><i>Applied Predictive Analytics</i> arms data and businessanalysts and business managers with the tools they need tointerpret and capitalize on big data.</p>",Dean Abbott,Computers & Technology,1118727967
86,Jumpstart Elk Hunting: The Everyday Hunter's Guide to Cutting Through the Bull,http://ecx.images-amazon.com/images/I/51%2BHx9FMWCL.jpg,"Jumpstart Elk Hunting was written to be different from most other books on elk hunting. It was written for the rest of us, the weekend hunters who responsibilities and can't spend half the year out in the field. This is by no means an all inclusive book filled with hundreds of stories about someone else's elk hunting trips. Instead, this book focuses on exactly the information you need to jumpstart your success in elk hunting. Whether you've been hunting for 20 years or just one, you're guaranteed to find information in this book that will increase your odds of success in the field. Beginners will appreciate having specific guidance on gear and techniques, and seasoned elk veterans will surely gain knowledge and insight to increase their odds. Specific sections include step by step guidance on scouting techniques including data, virtual, telephone, and physical scouting using the latest computer technologies, specific questions and techniques for interviewing wildlife professionals, and packing techniques that will optimize the efficiency and productiveness of your hunts. Jumpstart Elk Hunting was written because no other book like it exists. A book that gets straight to the point and can be used each year as a refresher by simply reading the jumpstart sections at the end of each chapter containing the key points. If you're tired of generic answers, hundreds of pages of stories about other hunter's trips, and reading the same information over and over, this book will surely jumpstart your elk hunting success.",Brian E Baldwin,Sports & Outdoors,1451574215
87,The Housewives Tarot,http://ecx.images-amazon.com/images/I/51vILPJbi2L.jpg,"Within This Box Lie The Secrets of Domestic Empowerment<br> &#160;<br> Begin your journey by lifting the lid, dealing out your fate, and understanding the hidden messages of <i>The Housewives Tarot. </i>Through images of dinnerware (Pentacles), martini glasses (Cups), mops and brooms (Wands), and much more, these tarot cards can answer all of life&rsquo;s most challenging questions. The enclosed instruction book will show you how to interpret all 78 cards and provides useful advice on giving a reading. <br> &#160;<br> Includes:<br> &#160;<br> &#160;&#160;&#160;&#160;&#160;&bull; &#160;78-card Tarot Deck<br> &#160;&#160;&#160;&#160;&#160;&bull; &#160;Instruction Book",Paul Kepple,Humor & Entertainment,1931686998
88,LAtitudes: An Angeleno's Atlas,http://ecx.images-amazon.com/images/I/51M3p6gN6YL.jpg,"<b>A transformative look at Los Angeles</b> <P> <P> This literary and cartographic exploration of Los Angeles reorients our understanding of the city in highly imaginative ways. Illuminated by boldly conceived and artfully rendered maps and infographics, nineteen essays by LA's most exciting writers reveal complex histories and perspectives of a place notorious for superficiality. This chorus of voices explores wildly different subjects: Cindi Alvitre unveils the indigenous Tongva presence of the Los Angeles Basin; Michael Jaime-Becerra takes us into the smoky, spicy kitchens of a family taquero business in El Monte; Steve Graves traces the cowboy-and-spacemen-themed landscapes of the San Fernando Valley. Overlooked sites and phenomena become apparent: LGBT churches and synagogues, a fabled &ldquo;Cycleway,&rdquo; mustachioed golden carp, urban forests, lost buildings, ugly buildings. What has been ignored, such as environmental and social injustice, is addressed with powerful anger and elegiac sadness, and what has been maligned is reexamined with a sense of pride: the city's freeways, for example, take the shape of a dove when viewed from midair and pulsate with wailing blues, surf rock, and brassy banda. Inspired by other texts that combine literature and landscape, including Rebecca Solnit's <i>Infinite City</i>, this book's juxtapositions make surprising connections and stir up undercurrents of truth. To all those who inhabit, love, or seek to understand Los Angeles, <i>LAtitudes</i> gives meaning and reward.",Patricia Wakida,History,1597142972
89,Fatal Pursuit,http://ecx.images-amazon.com/images/I/51ykY8WhtrL.jpg,"<p>Five years ago, Aegis Security op manager Marley Addison's lover died in a South American raid gone horribly wrong...or so she thought. When she receives a phone call telling her that he is still very much alive and in danger, she vows to bring him home safely, even if Aegis CEO and former Navy SEAL Jake Ryder has kept her out of the field for the last few years. Then Jake shows up in Colombia to help her, leaving Marley annoyed...and more than a little distracted by her alarmingly handsome boss. </p> 
<p>As things between Marley and Jake heat up in the wilderness, they discover their rescue mission is filled with treachery. Now the domineering Jake has to rely on Marley for survival. But can she depend on him when their mission takes a shocking and deadly turn? </p> 
<p><i>Fatal Pursuit</i> is the pulse-pounding third book in Elisabeth Naughton's scorching Aegis series.</p>",Elisabeth Naughton,Romance,B01013L1O4
90,Across the Universe,http://ecx.images-amazon.com/images/I/51eDyhIwOtL.jpg,"<b>Book 1 in the <i>New York Times</i> bestselling trilogy, perfect for fans of Battlestar Gallactica and Prometheus! </b><br><br>WHAT DOES IT TAKE TO SURVIVE ABOARD A SPACESHIP FUELED BY LIES?<br><br>Amy is a cryogenically frozen passenger aboard the spaceship Godspeed. She has left her boyfriend, friends--and planet--behind to join her parents as a member of Project Ark Ship. Amy and her parents believe they will wake on a new planet, Centauri-Earth, three hundred years in the future. But fifty years before <i>Godspeed'</i>s scheduled landing, cryo chamber 42 is mysteriously unplugged, and Amy is violently woken from her frozen slumber.<br><br>Someone tried to murder her.<br><br>Now, Amy is caught inside an enclosed world where nothing makes sense. Godspeed's 2,312 passengers have forfeited all control to Eldest, a tyrannical and frightening leader. And Elder, Eldest's rebellious teenage heir, is both fascinated with Amy and eager to discover whether he has what it takes to lead. Amy desperately wants to trust Elder. But should she put her faith in a boy who has never seen life outside the ship's cold metal walls? All Amy knows is that she and Elder must race to unlock <i>Godspeed</i>'s hidden secrets before whoever woke her tries to kill again.",Beth Revis,Teen & Young Adult,1595144676
