,Title,Images,Summary,Aurthor,Category,ID
57,Clojure Cookbook: Recipes for Functional Programming,http://ecx.images-amazon.com/images/I/51NPZu-5PiL.jpg,"<div><p>With more than 150 detailed recipes, this cookbook shows experienced Clojure developers how to solve a variety of programming tasks with this JVM language. The solutions cover everything from building dynamic websites and working with databases to network communication, cloud computing, and advanced testing strategies. And more than 60 of the world&#8217;s best Clojurians contributed recipes.</p><p>Each recipe includes code that you can use right away, along with a discussion on how and why the solution works, so you can adapt these patterns, approaches, and techniques to situations not specifically covered in this cookbook.</p><ul> Master built-in primitive and composite data structures</li> Create, develop and publish libraries, using the Leiningen tool</li> Interact with the local computer that&#8217;s running your application</li> Manage network communication protocols and libraries</li> Use techniques for connecting to and using a variety of databases</li> Build and maintain dynamic websites, using the Ring HTTP server library</li> Tackle application tasks such as packaging, distributing, profiling, and logging</li> Take on cloud computing and heavyweight distributed data crunching</li> Dive into unit, integration, simulation, and property-based testing</li></ul><i>Clojure Cookbook</i> is a collaborative project with contributions from some of the world&#8217;s best Clojurians, whose backgrounds range from aerospace to social media, banking to robotics, AI research to e-commerce.",Luke VanderHart,Computers & Technology,1449366171
58,"The Race Underground: Boston, New York, and the Incredible Rivalry That Built America's First Subway",http://ecx.images-amazon.com/images/I/51OZvJoPj5L.jpg,"<p>In the late nineteenth century, as cities like Boston and New York grew more congested, the streets became clogged with plodding, horse-drawn carts. When the great blizzard of 1888 crippled the entire northeast, a solution had to be found. Two brothers from one of the nation's great families-Henry Melville Whitney of Boston and William Collins Whitney of New York-pursued the dream of his city digging America's first subway, and the great race was on. The competition between Boston and New York played out in an era not unlike our own, one of economic upheaval, life-changing innovations, class warfare, bitter political tensions, and the question of America's place in the world.<br><i>The Race Underground</i> is peopled with the famous, like Boss Tweed, Grover Cleveland and Thomas Edison, and the not-so-famous, from brilliant engineers to the countless ""sandhogs"" who shoveled, hoisted and blasted their way into the earth's crust, sometimes losing their lives in the construction of the tunnels. Doug Most chronicles the science of the subway, looks at the centuries of fears people overcame about traveling underground and tells a story as exciting as any ever ripped from the pages of U.S. history. The Race Underground is a great American saga of two rival American cities, their rich, powerful and sometimes corrupt interests, and an invention that changed the lives of millions.</p>",Doug Most,Engineering & Transportation,1250061350
59,"National Geographic Kids 125 True Stories of Amazing Animals: Inspiring Tales of Animal Friendship & Four-Legged Heroes, Plus Crazy Animal Antics",http://ecx.images-amazon.com/images/I/610XgDTaSkL.jpg,"Meet a kayaking sea otter, a penguin that became a knight, a bear that stole a family's car, a pet cat that called 911 to save its owner, and many more amazing animals. This page-turner offers 100 heartwarming and hilarious anecdotes, illustrated with full color photos of these intriguing animals. Stories include unlikely animal friends, animal heroes, amazing animal tricks, surprising animal hybrids, wacky truth-is-stranger-than-fiction stories of animal antics, and more. Plus, loads of animals facts, lists, and information boxes add even more fun on every page.",National Geographic Kids,Children's Books,142630918X
60,"In Search of ""Alias Grace"" (Charles R. Bronfman Lecture in Canadian Studies)",http://ecx.images-amazon.com/images/I/41InD%2B00ooL.jpg,"<DIV>Margaret Atwood's novel <i>Alias Grace</i> is based on the murder of Thomas Kinnear and his mistress Nancy Montgomery in 1843. Kinnear's manservant was hanged for the crime, but the execution of his supposed accomplice, Grace Marks, owing to her ""feeble sex"" and ""extreme youth,"" was commuted to life. <i>In Search of ""Alias Grace"" </i>describes Margaret Atwood's search for the facts, what she found out, what eluded her grasp, and how this process shaped her novel.",Margaret Atwood,Romance,077660449X
61,Environmental Science (3rd Edition) Student Workbook,http://ecx.images-amazon.com/images/I/51M86a5NzDL.jpg,Environmental-Science,Tracey Greenwood,Children's Books,1927173558
62,Color By Number For Adults: Country Casual Autumn Scenes,http://ecx.images-amazon.com/images/I/51GSAMZbtFL.jpg,"Rediscover the joy of coloring by numbers! Let yourself go with a pleasure fest of 15 soothing autumn scenes with corresponding color charts. The rich colors of vibrant fall leaves, grazing deer and majestic mountains will melt away your stress and put a smile on your face. Plus, enjoy the same scenes without numbers for complete creative freedom.",Nona Meyers,Arts & Photography,1517360900
63,Trust After Trauma: A Guide to Relationships for Survivors and Those Who Love Them,http://ecx.images-amazon.com/images/I/51NBKBUCUtL.jpg,"<div>Trauma survivors are often dismayed to find that traumatic events not only shatter their internal sense of well-being, but also leave them withdrawn or isolated. In this new book, psychologist Aphrodite Matsakis guides survivors through a process of strengthening existing bonds, building new ones, and ending self-perpetuating cycles of withdrawal and isolation. Step-by-step exercises help you learn how to manage emotions, handle unresolved issues, accept realistic limitations, and find ways to make your relationships a context for healing.",Aphrodite T. Matsakis PhD,"Health, Fitness & Dieting",1572241012
64,Son of the Morning (Pocket Books Romance),http://ecx.images-amazon.com/images/I/51Cs7DstOkL.jpg,"The <i>New York Times </i>bestselling author of <i>Troublemaker </i>and <i>Heartbreaker </i>delivers a heart-pounding and romantic thriller about a woman who must travel back in time to stop a ruthless killer&#8212;but can she also protect her heart from the irresistible, dark lover she finds there?<BR><BR>Is it possible to unravel a convoluted mystery from the past&hellip;by living it?<BR> <BR>A scholar specializing in ancient manuscripts, Grace St. John never imagined that a cache of old documents she discovered was the missing link to a lost Celtic treasure. But as soon as she deciphers the legend of the Knights of the Templar&#8212;long fabled to hold the key to unlimited power&#8212;Grace becomes the target of a ruthless killer bent on abusing the coveted force.<BR> <BR>Determined to stop him, Grace needs the help of a warrior bound by duty to uphold the Templar&rsquo;s secret for all eternity. But to find him, she must go back in time to fourteenth-century Scotland&hellip;and to Black Niall, a fierce man of dark fury and raw, unbridled desire. &ldquo;A romantic time-travel thriller with a fascinating premise&rdquo; (<i>Publishers Weekly</i>), <i>Son of the Morning </i>is perfect for fans of Pamela Clare and Karen Robards.",Linda Howard,Romance,067179938X
65,"Fodor's Puerto Rico, 6th Edition (Full-color Travel Guide)",http://ecx.images-amazon.com/images/I/51m4aTBIkGL.jpg,"Full-color guide &bull; Make your trip to Puerto Rico unforgettable with 40 maps, illustrated features, and 172 color photos.<br>Customize your trip with simple planning tools &bull; Top experiences &amp; attractions &bull; Lodging comparison charts &bull; Easy-to-read color regional maps<br>Explore San Juan, El Yunque, Vieques and beyond &bull; Discerning Fodor&rsquo;s Choice picks for hotels, restaurants, sights, and more &bull; &ldquo;Word of Mouth&rdquo; tips from fellow Fodor&rsquo;s travelers &bull; Illustrated features on Bioluminescent Bays, Salsa, and Surfing &bull; Best open-air adventures, beachcombing and arts activities<br>Opinions from destination experts &bull; Fodor&rsquo;s Puerto Rico-based writers reveal their favorite local haunts &bull; Frequently updated to provide the latest information",Fodor's,Travel,1400004527
66,Fashion Design Workshop Drawing Book & Kit: Includes everything you need to get started drawing your own fashions! (Walter Foster Studio),http://ecx.images-amazon.com/images/I/510i9JA5UQL.jpg,"<DIV>Whether their dream is to become the next hot runway designer, develop their own clothing line, or simply combine their artistic skills with a love for fashion, the tips, tools, and step-by-step projects in Fashion Design Workshop Drawing Book & Kit provide budding designers with everything they need to draw an assortment of fashions. Artists will learn to render a variety of fashionable contemporary styles, including a classic red dress, a bohemian outfit, sporty athletic wear, and casual jeans paired with a t-shirt. Also included is plenty of inspiration from past decades and iconic styles, including a Renaissance-era dress, &rsquo;40s swing, &rsquo;50s rock &lsquo;n&rsquo; roll, and others. The project book opens with an overview of the included tools and materials, as well as an introduction to basic fashion design drawing techniques, such as figure proportions, rendering textures, drawing various poses, and tips for rendering details. Aspiring fashion designers and illustrators will find everything they need to create the stylish projects in the book using the materials provided, including a drawing pencil, eraser, 6-double-sided colored pencils, 8 fine-line markers, loose-leaf drawing paper, and pre-printed fashion pose templates corresponding to the projects inside, which artists can photocopy for continued use and endless creative designs.",Stephanie Corfee,Arts & Photography,1600583849
67,Simply Raw 2016 Wall Calendar: Vegetable Portraits with Raw Food Recipes,http://ecx.images-amazon.com/images/I/51VVGcSuL7L.jpg,"<p>The raw food movement is an exciting and healthy culinary trend that has captured food lovers' imagination and sparked creativity in the kitchen. This stunning Simply Raw wall calendar features Lynn Karlin's elegant portraits of raw vegetables and fruits fresh from the farmers market. This gorgeous produce is paired with delicious, accessible detox recipes by master chef and best-selling author Matthew Kenney.</p> <ul>  A year of gorgeous food photography on your wall.</li>  Frameable artbook-quality printing.</li>  The perfect art gift for the food lover and the adventurous cook.</li>  Award-winning color photographs by acclaimed photographer Lynn Karlin.</li>  Printed on FSC Certified Mixed Source Paper with soy-based inks.</li>  Published by Amber Lotus, an independent carbon-negative US company that has planted more than half a million trees since 2008.</li>  This calendar features US and Canadian legal holidays, phases of the moon, and important observances of the world's major religions.</li> </ul> <p>Kenney's cookbooks include <i>Everyday Raw Express</i>, <i>Everyday Raw</i>, and <i>Everyday Raw Desserts</i>. Enjoy these stunning photos and innovative recipes all year long.</p>",Matthew Kenney,Calendars,1631360426
68,The Carolina Rice Kitchen: The African Connection (Culinary History),http://ecx.images-amazon.com/images/I/51OnDEgPbLL.jpg,"""Karen Hess has shaped this long-forgotten social history into a readable, informative, and highly beneficial narrative. Books like this made the ordinary lives of our forefathers seem much more authentic and closer to us than the Old South mythologies ever did"".--South Carolina Historical Magazine.",Karen Hess,Travel,087249666X
69,Islam Dismantled: The Mental Illness of Prophet Muhammad,http://ecx.images-amazon.com/images/I/51fcsMz7QZL.jpg,"This book dismantles Islam by exposing the imposture of Muhammad. The historical Muhammad is too privileged to be formally evaluated in the fashion a clinical psychologist would like. But given certain of his well-known and highly documented behaviors, it is certain that he had a conflict-ridden psychological dependence on others. He was not capable of introspection. He had shown all the symptoms of his lunacy and his prophetic claim was based on the quicksand of grand delusion. But the irony is that the entire religion of Islam is based on the truth claim of such a man who could easily swing back and forth between the two extremes - reality and fantasy. Like the mythological Narcissus, he actually worshipped his own image - not God. He had created Allah in his own image and attributed to that God the qualities of his own self. He used Islam to pervade Muslim psyche, and possessed their mind. Islam is an extremely defenseless religion and hence vulnerable to collapse. ""Defenseless"" in the sense, there is not a single atom of truth in it to support. This failed religion, originated from the grand delusion of a malignant Narcissist, is the biggest hoax humanity has ever seen. It is like a house of cards - looks tall, big, mighty and gigantic but the base is very weak. The aim of this book is to diagnose Muhammad by making use of biographical data and through the application of psychological theory and research. This psychobiography is all about the ""why"" - the question of motives. It uncovers the private motives behind his public acts. This book presents two theses - Muhammad suffered from malignant narcissism, and was also affected by neurotic disorder which caused regular psychiatric delusions.",Sujit Das,Religion & Spirituality,1926800060
70,"How Life Imitates Chess: Making the Right Moves, from the Board to the Boardroom",http://ecx.images-amazon.com/images/I/515B1zq00hL.jpg,"<p>Garry Kasparov was the highest-rated chess player in the world for over twenty years and is widely considered the greatest player that ever lived. In <i>How Life Imitates Chess</i> Kasparov distills the lessons he learned over a lifetime as a Grandmaster to offer a primer on successful decision-making: how to evaluate opportunities, anticipate the future, devise winning strategies. He relates in a lively, original way all the fundamentals, from the nuts and bolts of strategy, evaluation, and preparation to the subtler, more human arts of developing a personal style and using memory, intuition, imagination and even fantasy. Kasparov takes us through the great matches of his career, including legendary duels against both man (Grandmaster Anatoly Karpov) and machine (IBM chess supercomputer Deep Blue), enhancing the lessons of his many experiences with examples from politics, literature, sports and military history. </p><p>With candor, wisdom, and humor, Kasparov recounts his victories and his blunders, both from his years as a world-class competitor as well as his new life as a political leader in Russia. An inspiring book that combines unique strategic insight with personal memoir, <i>How Life Imitates Chess</i> is a glimpse inside the mind of one of today's greatest and most innovative thinkers.</p>",Garry Kasparov,Humor & Entertainment,1596913886
71,Best of Black and White: Erotic Photography,http://ecx.images-amazon.com/images/I/51WizNdswmL.jpg,"Does anybody really know the next-generation photographers, the successors to Newton, Lindbergh, von Unwerth, and Ritts? The shots in this volume are an introduction to these newcomers and their accomplished, sexy, romantic workthe best of todays nude photography in black and white. Classic black-and-white photography shows clearly who knows how to take a good picture and who doesnt. The photographers contributing to this volume display their mastery of photography both as a craft and as an art form.",Peter Delius,Arts & Photography,3765860050
72,James Bond Encyclopedia,http://ecx.images-amazon.com/images/I/41ZJg39sgPL.jpg,"Encompassing full credits and production history of all twenty-one Bond movies, a richly illustrated tribute to the world's most successful film franchise covers every aspect of the master spy's world, capturing his history, style, villains and allies, gadgets, cars, weaponry, and women.",John Cork,Humor & Entertainment,075663167X
73,The Counselor's STEPs for Progress Notes: A Guide to Clinical Language and Documentation,http://ecx.images-amazon.com/images/I/51ZiCkJ4TmL.jpg,"Dr. Rhonda Sutton's second edition of the straightforward guide to progress notes includes additional examples, information, documentation, and clinical language that expands on the utility and readability of the first book. Additional case studies provide examples of how to use the STEPs to format notes. New chapters include information on clinical language and documentation. This book covers everything about progress notes, from how to write them, to how to store them, and even what to do when someone requests to them. In addition, clinical terms and abbreviations are included as well as suggestions for other clinical documentation such as termination letters, privacy statements, and professional disclosure statements. Suited for all types of mental health clinicians, this book will help therapists improve upon their progress notes and other forms of clinical documentation.",Dr. Rhonda Sutton,Medical Books,1514643588
74,Risk Management in Sport and Recreation,http://ecx.images-amazon.com/images/I/5198tKfWQuL.jpg,"<html> <head> </head> <body> <p> <i>Risk Management in Sport and Recreation</i> is a comprehensive resource for those charged with the responsibility of providing for the safety of participants and spectators in a sport or recreation setting. It covers a range of safety issues, including lightning, heat illness, aquatics, playground safety, drug testing, and medical emergency action plans. Readers receive clear and detailed explanations of issues to consider before making decisions on risk management. </p> <p> <i>Risk Management in Sport and Recreation</i> is designed to provide a foundation for approaching key issues in safety and risk management. It shows readers how to evaluate and analyze various safety issues and apply the underlying concepts to a variety of situations. The following are unique features of the text: </p> <p> -A safety guidelines finder lists Web sites of accessible standards, guidelines, and recommendations from leading organizations. </p> <p> -Chapter objectives and pullout boxes of key points and key statistics stress the importance of the topic under discussion. </p> <p> -Threshold issues in each chapter highlight important factors to consider when making decisions on risk management. </p> <p> -Real-world applications at the end of each chapter present scenarios involving the potential for harm, and readers must make a decision on how to address the issues. </p> <p> -Examples of public service announcements, posters, and other publicly viewed safety information are presented. </p> <p> -An appendix offers examples of emergency action plans, checklists, and recommendations from organizations such as the National Lightning Safety Institute and university aquatic centers. </p> <p> -A companion Web site provides links to the Web sites used in the book, as well as updates to guidelines and links that may occur after the book is in print.<br>The safety guidelines finder gives students and practitioners a single location from which they can easily access important safety information. Organized under land-based or water-based activities, each activity lists guidelines, recommendations, and standards along with the source for that information. Each entry includes Web sites where readers can find the full documents. The text also features sample guidelines and safety checklists from agencies and associations that demonstrate how organizations might plan for risk and communicate safety information. Readers also consider the types of postings and equipment they will need in order to communicate their risk management plans, and they are given real-life situations in which a risk management plan is needed and are prompted to consider why and how to create a plan for such situations. </p> <p> The resource will help students and professionals plan for and manage risk. Current and future employees of sport facilities, school athletic programs, parks and recreation programs, youth and aquatic centers, or resorts and golf courses will find that <i>Risk Management in Sport and Recreation</i> provides the tools to assist in making the right decisions to manage risk effectively. </p> </body> </html>",John O. Spengler,Business & Money,073605619X
75,"Conserving Land, Protecting Water (Comprehensive Assessment of Water Management in Agriculture Series)",http://ecx.images-amazon.com/images/I/41-rTtAarJL.jpg,"The degradation of land and water resources resulting primarily from agricultural activities has had enormous impact on human society. In order to alleviate this problem, an advanced understanding of the state of our resources and the process of degradation is needed. <i>Conserving Land, Protecting Water</i> includes an overview of existing literature focusing on global patterns of land and water degradation and discussions of new insights drawn from successful case studies on reversing soil and water degradation and their impact on food and environmental security.<br />",Deborah Bossio,Science & Math,1845933877
76,Passage to Freedom: The Sugihara Story,http://ecx.images-amazon.com/images/I/510v2rWohdL.jpg,"A portrait of Chiune Sugihara, a Japanese diplomat in Lithuania in 1940, explains how he used his powers--against the orders of his own government--to assist thousands of Jews escape the Holocaust, actions that resulted in the imprisonment and disgrace of his entire family.&#34;",Ken Mochizuki,Children's Books,1584301570
77,Evaluation Essentials: From A to Z,http://ecx.images-amazon.com/images/I/41rB3bAziJL.jpg,"<P><DIV>Written in a refreshing conversational style, this text thoroughly prepares students, program administrators, and new evaluators to conduct evaluations or to use them in their work. The book's question-driven focus and clear discussions about the importance of fostering evaluation use by building collaborative relationships with stakeholders set it apart from other available texts. In 26 concise sections, Marvin C. Alkin explores how to articulate answerable evaluation questions, collect and analyze data using both quantitative and qualitative methods, and deal with contingencies that might alter the traditional sequence of an evaluation. Student-friendly features include handy bulleted recaps of each section, ""Thinking Ahead"" and ""Next Steps"" pointers, cautionary notes, annotated suggestions for further reading, and an in-depth case study that provides the basis for end-of-chapter exercises.",Marvin C. Alkin EdD,Medical Books,1606238981
78,Developing Essbase Applications: Hybrid Techniques and Practices,http://ecx.images-amazon.com/images/I/51QGgxNE-vL.jpg,"<P>Maintaining the advanced technical focus found in <I>Developing Essbase Applications</I>, this second volume is another collaborative effort by some of the best and most experienced Essbase practitioners from around the world.<BR><BR><B>Developing Essbase Applications: Hybrid Techniques and Practices</B> reviews technology areas that are much-discussed but still very new, including Exalytics and Hybrid Essbase. Covering recent improvements to the Essbase engine, the book illustrates the impact of new reporting and analysis tools and also introduces advanced Essbase best practices across a variety of features, functions, and theories.<BR><BR>Some of this book’s chapters are in the same vein as the previous volume: hardware, engines, and languages. Others cover new ground with Oracle Business Intelligence Enterprise Edition, design philosophy, benchmarking concepts, and multiple client tools. As before, these subjects are covered from both the technical and best practice perspectives.<BR><BR>This updated volume continues in the tradition of its bestselling predecessor by defining, investigating, and explaining Essbase concepts like no other resource. It also includes use cases that transform abstract theory into practical examples you can easily relate to your own Essbase environment.<BR><BR>Illustrating the recent expansion of Essbase functionality, this book provides the up-to-date understanding you need to explore the full depth of the Essbase technology stack. Although the book presents detailed tutorial chapters that can be read on their own, reading the entire book will provide you with a similar understanding as some of the most experienced Essbase practitioners from around the world.</P>",,Computers & Technology,1498723284
79,Poly-Canvas Bible / Book Cover w/Fish Applique (Large / Teal),http://ecx.images-amazon.com/images/I/51yrRPO8F9L.jpg,"img alt="""" src=""/gp/sponsored-products/logging/log-action.html?qualifier=1535793501&id=508119089374250&widgetName=sp_detail&adId=200005925730571&eventType=2&adIndex=0"">    </noscript>    <script type=""text/javascript"">(function(f) {f(window.P._namespace(""FirebirdSpRendering""));}(function(P) {        P.when('SponsoredProductsViewability').execute(function(SV) {            SV.loadImagePixel(""/gp/sponsored-products/logging/log-action.html?qualifier=1535793501&id=508119089374250&widgetName=sp_detail&adId=200005925730571&eventType=2&adIndex=0"");        });    }));</script><script type=""text/javascript"">(function(f) {f(window.P._namespace(""FirebirdSpRendering""));}(function(P) {    P.when('A', 'SponsoredProductsViewability').execute(function(A, SV) {        SV.registerViewTrackingElement(A.$(""#sp_detail_B07BB7QB2H""), ""sp_detail"");    });}));</script><div class=""pa_feedbackForm_container_sp_detail"" style=""display:none;"">    <div class=""sp_adID"">        <span class=""a-declarative"" data-action=""a-modal"" data-a-modal=""{&quot;footer&quot;:&quot;&lt;div id='sponsored-products-feedback-footer'&gt;&quot;,&quot;closeButton&quot;:&quot;false&quot;,&quot;name&quot;:&quot;sponsored-products-feedback-modal-sp_detail&quot;,&quot;width&quot;:&quot;350&quot;,&quot;header&quot;:&quot;Share your feedback&quot;,&quot;url&quot;:&quot;/gp/sponsored-products/lazyLoad/handler/sp-feedback-handler.html?pl=K6fQmR9%2FO9TwJnV6%2B1NkeQcQkRoPEScPtlwPAzwgKdYbNwkOrFZljAFEdp32wDYgHi1vYVX3GcZR%0AjjeKihwf%2B4jRpQTmg2qvEh0Fc7Pq%2BNmEyPF%2BHIIrrJfuan8NW2V7yc7sMkZ68i2KTJFTjPk5cwMf%0AwnpjrKUbxsu4vDddS4uwrDECaWtfBQkku6ysVLQYcZS%2Bqagk3qcqHxPor1GwWB9y%2B0wabO5RNFln%0A4aXaGfHhKgzNhXNumQq5xCAXRacLLawmEDl%2BxS5kffRDoiOsGO0B1gfWBZqcUCpGvNfUZFQxf3YN%0ATEIx%2BlbLTEHkVT3tTddaw%2FD%2BPSVxtnN7Oidd1UAI1F9AZ%2FtPoJqAcKqWo%2F4n%2BZHllwUxiiokpMyj%0AJq%2Bxjqh5BBVIubaGUvmIbryPUQRk1PBtAC3T1ar%2B37vphJXPJFs8HHmBxom7bh3JhOaoWidgKMk7%0AdwN15MSkcSzJw8RgbWKCyWKdSbZWxysHug777L1cKCRR%2B5XkE592CrAezE0KIfQxhdiKRGwelC9P%0A4A%2FpPDSJihrObXYRfMnb6sP8eO67Ks9hM%2BafsuIIGgEJtM5hBol9sJGgLTMv5Zhe%2FyAUh8Oal9Kg%0Aobpo4YqHPxiZnOpPOStUJ0GyymLYhCn8DRXTVFaGzbY%3D&quot;}"">            <a href=""javascript:void(0)"" class=""a-popover-trigger a-declarative"">Feedback<i class=""a-icon a-icon-popover""></i></a>        </span>    ",Christian Art Gifts,Christian Books & Bibles,B00ENP6LEW
80,Loving Mr. Daniels,http://ecx.images-amazon.com/images/I/51ptCK1zhmL.jpg,"To Whom it May Concern, It was easy to call us forbidden and harder to call us soulmates. Yet I believed we were both. Forbidden soulmates. When I arrived to Edgewood, Wisconsin I didn’t plan to find him. I didn't plan to stumble into Joe's bar and have Daniel's music stir up my emotions. I had no clue that his voice would make my hurts forget their own sorrow. I had no idea that my happiness would remember its own bliss. When I started senior year at my new school, I wasn’t prepared to call him Mr. Daniels, but sometimes life happens at the wrong time for all the right reasons. Our love story wasn’t only about the physical connection. It was about family. It was about loss. It was about being alive. It was silly. It was painful. It was mourning. It was laughter. It was ours. And for those reasons alone, I would never apologize for loving Mr. Daniels. -Ashlyn Jennings",Brittainy C. Cherry,Romance,1499516959
81,Book,http://ecx.images-amazon.com/images/I/51RjWAsmZsL.jpg,"In a world dazzled by the latest gadgets and mesmerized by Internet videos, the humble book seems like the most ordinary thing that could be. And perhaps it is until you learn to look closer . . . and closer . . . and closer . . . and you re suddenly in a world that only you can imagine. <br><br> With soft, warm storytelling and stunning, whimsical illustrations, <i>Book</i> embarks the reader on an imaginative journey through the literary lands of fact and fiction, a world where passwords, viruses, and broken screens can't stop a young boy's earnest quest for truth. Join in this celebration of literature, scrape the skies of opportunity, traverse the forests of what-could-be, free the powers of knowledge, and discover once again why the humble book is anything but ordinary.",David W Miles,Children's Books,1939629659
82,"Naruto, Vol. 53: The Birth of Naruto",http://ecx.images-amazon.com/images/I/51EbtpLTHdL.jpg,"A hilarious, touching, action-packed tale of a ninja in training!<b></b><BR><BR>Reads R to L (Japanese Style) for audiences T.&nbsp; Naruto is a young shinobi with an incorrigible knack for mischief. He's got a wild sense of humor, but Naruto is completely serious about his mission to be the world's greatest ninja.<BR><BR>Naruto faces his inner demons at the Waterfall of Truth! Can he tame the darkness inside himself while still retaining his biju's power? An important figure from his past shows up during the struggle to relate the history of his family and village, revealing astonishing new information about Naruto and Nine Tails!",Masashi Kishimoto,Teen & Young Adult,1421540495
83,GURPS Arabian Nights (GURPS: Generic Universal Role Playing System),http://ecx.images-amazon.com/images/I/515VF6NWR9L.jpg,"A sourcebook for games set in medieval Arabia. Covers both history and fantasy. Not just useful for GURPS, can be used with other rule systems.",Phil Masters,Science Fiction & Fantasy,1556342667
84,The Tyrant Falls In Love Volume 9 (Yaoi Manga) (Tyrant Falls in Love Gn),http://ecx.images-amazon.com/images/I/51q9tzP22iL.jpg,"<ul>  Just when you thought Morinaga got emotionally close and connected to Senpai, Morinaga is called to attend a research camp and has to spend one week away from home. Anxious to fall back in Senpai's arms, he returns to find Senpai interviewing for new assistants. He has no idea how to take all this... what should he do?</li></ul>",Hinako Takanaga,Comics & Graphic Novels,1569703434
85,Quantum Theory & Applications of Chemical Reaction Dynamics,http://ecx.images-amazon.com/images/I/51sV%2Bpm1GPL.jpg,"<p>This book provides a detailed presentation of modern quantum theories for treating the reaction dynamics of small molecular systems. Its main focus is on the recent development of successful quantum dynamics theories and computational methods for studying the molecular reactive scattering process, with specific applications given in detail for a number of benchmark chemical reaction systems in the gas phase and the gas surface. In contrast to traditional books on collision in physics focusing on abstract theory for nonreactive scattering, this book deals with both the development and the application of the modern reactive or rearrangement scattering theory, and is written in a fashion in which the development of the reactive scattering theory is closely coupled with its computational aspects for practical applications for realistic molecular reactions. The volume includes such topics as methods for calculating rovibrational states of molecules, fundamental quantum theory for scattering (nonreactive and reactive), modern time-independent computational methods for reactive scattering, general time-dependent wave packet methods for reactive scattering, dynamics theory of chemical reactions, dynamics of molecular fragmentation, semiclassical description of quantum mechanics, and also some useful appendices.</p> <p>The book is intended for the reader to not only understand the molecular reaction dynamics from the fundamental scattering theory, but also utilize the provided computational methodologies in their practical applications. It should benefit graduate students and researchers in the field of chemical physics.</p> <p>&nbsp;</p>",John Zh Zhang,Science & Math,9810233884
86,Bruce Davidson: Subway,http://ecx.images-amazon.com/images/I/41H3Lq9M3FL.jpg,"Bruce Davidson's groundbreaking <i>Subway,</i> first published by Aperture in 1986, has garnered critical acclaim both as a documentation of a unique moment in the cultural fabric of New York City and for its phenomenal use of extremes of color and shadow set against flash-lit skin. In Davidson's own words, <q>the people in the subway, their flesh juxtaposed against the graffiti, the penetrating effect of the strobe light itself, and even the hollow darkness of the tunnels, inspired an aesthetic that goes unnoticed by passengers who are trapped underground, hiding behind masks and closed off from each other.</q> In this third edition of what is now a classic of photographic literature, a sequence of 118 (including 25 previously unpublished) images transport the viewer through a landscape at times menacing, and at other times lyrical and soulful. The images present the full gamut of New Yorkers, from weary straphangers and languorous ladies in summer dresses to stalking predators and homeless persons. Davidson's accompanying text tells the story behind the images, clarifying his method and dramatizing his obsession with the subway, its rhythms and its particular madness.",Bruce Davidson,Arts & Photography,1597111945
87,"Tunis (Tunisia) 1:12,000 Street Map, Laminated, B&B (City Streets)",http://ecx.images-amazon.com/images/I/41Q7A8VER7L.jpg,"This easy-to-fold laminated city map of Tunisia features large-scale street plans, a map of the greater city area and a public transport map. There are grid references for points of interest, theatres and hotels. Routes can be marked and erased on the easy-to-clean surface.",Berndtson,Travel,3929811723
88,Art & Architecture Florence,http://ecx.images-amazon.com/images/I/617mMiz5L2L.jpg,"From the thirteenth to the sixteenth century, Florence was a seemingly endless source of creative masterpieces and Italian genius. The Italian Renaissance, Europe’s richest cultural period, began there. Its chapels, galleries, and museums are an inexhaustible treasure, capturing the complex, often elusive spirit of the Renaissance more fully than any other place in the world. This volume will guide you through the museums, churches, squares, and fountains that make this feast for the senses.",RolfC. Wirtz,Arts & Photography,3848003228
89,Zimbabwe: Challenging the stereotypes,http://ecx.images-amazon.com/images/I/51TI4TzmR2L.jpg,"""Zimbabwe: Challenging the Stereotypes"" brings the story of Zimbabwe up-to-date (2014) in a dramatic, readable, firsthand description of thirty four years of Zimbabwe’s history by a South African academic, writer and arts educationist who went through it all – from Independence to the present. While it confirms some of the West’s criticisms, it offers a unique alternative viewpoint and questions a number of long-held and seldom challenged beliefs, including the almost universal cliché that at Independence Zimbabwe had everything going for it and threw it all away through bad government. It offers a fresh assessment of Robert Mugabe, Zimbabwe’s military involvement in the Congo, the Gukurahundi massacres in Matebeleland, sanctions, human rights, the rule of law, the media and culture in Zimbabwe and builds on recent research which demonstrates that the reality of the Land Reform and other aspects of the country’s recent history belie the unquestioned and widely-propagated myths. Extracts from pre-publication previews: “Anyone interested in Zimbabwe’s recent history should read this book...thoroughly recommended…” — Prof. Ian Scoones, University of Sussex, UK, co-author of Zimbabwe’s Land Reform: Myths and Realities “Refreshingly daring, original, inventive and captivating,...highly controversial and likely to stir heated debate” — Prof. Micere Githae Mugo, Syracuse University, US, Kenyan poet, playwright and essayist, author of Writing and Speaking from the Heart of My Mind “Told with brutal honesty. A book all South Africans – and indeed all who wish to learn – must read” — Maishe Maponya, South African playwright and poet, author of The Hungry Earth and Gangsters.",Robert Mshengu Kavanagh,History,1500186244
